﻿Spotify URI,Track Name,Artist Name,Album Name,Disc Number,Track Number,Track Duration (ms),Added By,Added At
"spotify:track:4YUlGNZfYA6EUE5KDsGqpC","You Can't Hurry Love","Phil Collins","Hello, I Must Be Going","1","5","175346","spotify:user:1163504943","2015-09-11T11:34:59Z"
"spotify:track:1VsuSOEVhuCaybeb1rFeCM","The Magic Key","One-T","The One-T ODC","1","6","228706","spotify:user:1163504943","2015-09-11T11:37:23Z"
"spotify:track:1MYlx4dBtiyjn7K8YSyfzT","The Real Slim Shady","Eminem","Curtain Call (Deluxe)","1","11","284800","spotify:user:1163504943","2015-09-11T11:45:03Z"
"spotify:track:3C7RbG9Co0zjO7CsuEOqRa","Sing For The Moment","Eminem","Curtain Call (Deluxe)","1","8","340266","spotify:user:1163504943","2015-09-11T11:45:04Z"
"spotify:track:2ENXl3xooOtQrD3NS61YCq","Bleib in der Schule","Trailerpark","Crackstreet Boys 3","1","2","264893","spotify:user:1163504943","2015-09-12T12:48:17Z"
"spotify:track:1hgsvfsGtRjj7IquMzFLX5","Dicks sucken","Trailerpark","Crackstreet Boys 3","1","7","220626","spotify:user:1163504943","2015-09-13T12:05:11Z"
"spotify:track:6LXRvh3S8TB5P1PKy4lY1S","Alors On Danse - Radio Edit","Stromae","Cheese","1","5","206066","spotify:user:1163504943","2015-09-15T08:20:07Z"
"spotify:track:3Fr6KveeuBJcJUFpJHJgUX","Broodje Bakpao","The Opposites, Sef, Gers Pardoel","Broodje Bakpao","1","1","195386","spotify:user:1163504943","2015-09-20T10:33:39Z"
"spotify:track:64BbK9SFKH2jk86U3dGj2P","Otherside","Red Hot Chili Peppers","Californication (Deluxe Version)","1","4","255373","spotify:user:1163504943","2015-09-21T18:39:13Z"
"spotify:track:48UPSzbZjgc449aqz8bxox","Californication","Red Hot Chili Peppers","Californication (Deluxe Version)","1","6","329733","spotify:user:1163504943","2015-09-21T18:39:16Z"
"spotify:track:3d9DChrdc6BOeFsbrZ3Is0","Under The Bridge","Red Hot Chili Peppers","Blood Sugar Sex Magik (Deluxe Version)","1","11","264306","spotify:user:1163504943","2015-09-21T18:39:19Z"
"spotify:track:3ZOEytgrvLwQaqXreDs2Jx","Can't Stop","Red Hot Chili Peppers","By The Way (Deluxe Version)","1","7","269000","spotify:user:1163504943","2015-09-21T18:39:20Z"
"spotify:track:2ypT0w7jeCwcEQQvNE5o92","The Bad Touch","Bloodhound Gang","Hooray For Boobies","1","10","260506","spotify:user:1163504943","2015-09-23T10:12:23Z"
"spotify:track:6eMTTW2IakI12NUOBjNaPV","Foxtrot Uniform Charlie Kilo","Bloodhound Gang","Hefty Fine","1","3","171973","spotify:user:1163504943","2015-09-23T10:12:25Z"
